"","lpep_pickup_datetime","lpep_dropoff_datetime","PULocationID","DOLocationID","passenger_count","trip_distance","fare_amount","extra","tip_amount","total_amount","payment_type"
"650002","2017-01-20 10:41:45","2017-01-20 10:49:35",43,238,1,1.1,7,0,1.95,9.75,1
"825174","2017-01-25 08:17:23","2017-01-25 08:26:28",42,74,1,0.9,7.5,0,0,8.3,2
"288431","2017-01-09 17:32:14","2017-01-09 17:36:08",75,75,1,0.5,4.5,1,0,6.3,2
"84169","2017-01-03 16:48:28","2017-01-03 17:02:34",82,226,1,1.92,10.5,1,0,12.3,2
"556405","2017-01-17 15:22:41","2017-01-17 15:29:09",61,61,1,0.86,6,0,1.7,8.5,1
"304614","2017-01-10 08:04:22","2017-01-10 08:13:42",82,260,1,1.85,8.5,0,0,9.3,2
"864530","2017-01-26 13:05:38","2017-01-26 13:13:03",41,151,1,1.19,7,0,0,7.8,2
"980287","2017-01-29 03:11:58","2017-01-29 03:28:40",145,95,1,7.21,22.5,0.5,3.2,27,1
"978934","2017-01-29 02:48:05","2017-01-29 03:06:00",41,200,1,7.79,24,0.5,0,25.3,2
"191654","2017-01-06 20:19:03","2017-01-06 20:25:33",260,129,1,2.49,9,0.5,0,10.3,2
"102505","2017-01-04 09:46:45","2017-01-04 09:56:30",33,195,1,2.04,9,0,1.96,11.76,1
"880314","2017-01-26 20:07:12","2017-01-26 20:18:41",41,69,2,2.13,10,0.5,0,11.3,2
"687093","2017-01-21 06:04:00","2017-01-21 06:20:03",244,230,1,7.17,22,0,0,22.8,1
"894053","2017-01-27 08:28:35","2017-01-27 08:36:50",74,43,1,1.36,7.5,0,1.66,9.96,1
"690147","2017-01-21 10:28:26","2017-01-21 10:44:03",182,265,1,7.51,20,0,0,20,2
"383712","2017-01-12 18:42:45","2017-01-12 19:16:01",225,181,1,2.94,20.5,1,0,22.3,1
"140538","2017-01-05 12:56:43","2017-01-05 13:15:40",145,237,5,4.01,16,0,4,20.8,1
"344877","2017-01-11 15:31:55","2017-01-11 15:35:21",255,256,1,0.62,4.5,0,1.06,6.36,1
"284932","2017-01-09 16:15:00","2017-01-09 16:18:27",41,166,6,0.58,4.5,1,1.26,7.56,1
"85005","2017-01-03 17:08:26","2017-01-03 17:15:36",75,74,1,1.39,7,1,0,8.8,2
"613422","2017-01-19 10:42:08","2017-01-19 11:02:37",40,231,1,3.37,15,0,3.95,19.75,1
"459312","2017-01-14 15:55:27","2017-01-14 16:03:46",17,49,1,1.59,8,0,0,8.8,2
"283961","2017-01-09 15:43:22","2017-01-09 15:52:50",52,181,1,1.1,7.5,0,2.45,10.75,1
"455151","2017-01-14 13:36:43","2017-01-14 13:47:17",212,20,1,3.37,12,0,2.56,15.36,1
"389612","2017-01-12 20:45:03","2017-01-12 20:58:59",97,225,1,2.39,11.5,0.5,0,12.8,2
"727781","2017-01-22 04:12:12","2017-01-22 04:23:04",129,173,1,1.75,9,0.5,0,10.3,2
"718148","2017-01-21 23:30:59","2017-01-21 23:36:41",181,181,5,1.17,6,0.5,1.1,8.4,1
"999252","2017-01-29 18:03:25","2017-01-29 18:08:28",41,166,1,0.99,5.5,0,1.26,7.56,1
"725697","2017-01-22 03:18:01","2017-01-22 03:26:54",80,36,1,1.93,8.5,0.5,1.96,11.76,1
"898800","2017-01-27 11:37:13","2017-01-27 11:50:46",7,129,1,3.09,12,0,0,12.8,2
"939011","2017-01-28 07:50:55","2017-01-28 07:57:49",260,129,5,1.14,6.5,0,0,7.3,2
"838651","2017-01-25 17:22:24","2017-01-25 17:39:26",260,173,1,2.66,12.5,1,0,14.3,2
"848261","2017-01-25 21:34:42","2017-01-25 21:41:38",260,82,6,0.83,6,0.5,0,7.3,2
